,Question,Answer,Label,predicted_label
429,How are freight transport problems studied in the context of vehicle routing?,"Freight transport problems are studied as vehicle routing problems, which involve finding optimal routes and scheduling deliveries for a fleet of vehicles. Different variants of vehicle routing problems address sustainability criteria to decrease fuel consumption and pollutants emissions, making it a rich vehicle routing problem.",analysis,science_and_tech
443,What factors contribute to higher travel satisfaction in high density and inner-city residential locations?,High density and inner-city residential locations contribute to higher travel satisfaction by enabling shorter travel times and more walking and cycling.,analysis,analysis
444,How can cities encourage carpooling and reduce road traffic?,"High vehicle-occupancy lanes can be implemented, as seen in Los Angeles, Washington, and Amsterdam.",strategy,strategy
447,How do historical emissions of CO2 from aviation compare to emissions from non-aviation sources?,"Historical emissions of CO2 from aviation are almost zero going back just a few decades into the mid-20th Century, while around half the carbon dioxide from all anthropogenic sources currently in the atmosphere was emitted before 1,980, so the overwhelming majority of the total is from non-aviation sources.",analysis,analysis
448,What do Holland et al. suggest about the environmental impact of energy production for electric vehicles?,Holland et al. suggest that the energy production for electric vehicles usually has a lower environmental impact than petrol production.,analysis,ethics_and_regulation
452,How do hybrid buses contribute to minimizing pollutant emissions compared to other buses?,"Hybrid buses, powered by electricity and bio-diesel, emit fewer pollutants compared to other buses. They also generate fuel economy and operate more quietly.",science_and_tech,science_and_tech
465,How does improving road infrastructure affect the equilibrium in bus transport?,"Improving road infrastructure, such as widening the lanes and reducing congestion, can lead to a lower initial cost for car users. However, it can also result in a decrease in the number of bus users and an increase in the overall cost compared to the initial situation.",strategy,analysis
470,How does distance to the city centre affect travel affect in Athens?,"In Athens, distance to the city centre is associated with higher travel affect, suggesting that those who live further away from the city centre experience more positive emotions during their commute trips, when accounting for neighbourhood density, transport mode used, travel time, commute frequency, and travel attitudes.",analysis,analysis
472,How is sustainable urban mobility viewed in Brazil?,"In Brazil, sustainable urban mobility is viewed from multiple perspectives. It includes considering the social, economic, and environmental aspects of transportation, promoting the use of public transportation and non-motorized modes of transport, improving accessibility and equity in transportation systems, and addressing the specific challenges and needs of different cities and regions in Brazil. The concept of sustainable urban mobility is seen as a way to enhance the quality of life, mitigate traffic congestion and air pollution, and promote more sustainable and inclusive cities.",ethics_and_regulation,strategy
477,How does the reduction in carbon emissions obtained in Scenario 6 compare to the potential decrease by using buses?,"In Scenario 6, the reduction in carbon emissions is obtained by increasing the use of buses, and it shows that the average occupancy of buses would be 30 passengers per trip.",analysis,analysis
478,How were the modal shares of cars and motorcycles reduced in scenario 7?,"In scenario 7, the modal shares of cars and motorcycles were reduced to 3.1% and 7.1%, respectively.",analysis,analysis
480,How many fatal road accidents per million inhabitants are caused by increased traffic in some cities?,"In some cities, increased traffic has led to fatal road accidents that exceed 100 persons per million inhabitants.",analysis,analysis
485,How has traffic congestion in urban areas in the USA changed over the past 20 years?,"In the past 20 years, the population increased by 10% and urban street mileage grew by 15% in the USA. However, the value of lost time due to traffic congestion tripled to US$80 million per year. Drivers now spend 60 hours in traffic jams, twice as much as 10 years earlier. Congested periods grew 50% and trip times at rush hours increased by about 10%.",analysis,analysis
513,How can promoting non-motorized transportation benefit cities economically?,"Investing in the necessary infrastructure for walking and cycling can create jobs for local workers. Furthermore, promoting non-motorized transportation can help reduce traffic congestion, improving the efficiency of freight and delivery services and reducing the overall cost of goods and services for consumers.",strategy,strategy
521,How does the installation of polluting activities in developing countries impact the environment?,It contributes to increased pollution levels in those countries.,analysis,analysis
543,What is the importance of integrating nature and the physical environment in the development of smart cities?,"It is important to integrate nature and the physical environment in the development of smart cities to achieve a balance between urbanization and environmental conservation. By incorporating green spaces, sustainable infrastructure, and eco-friendly practices, smart cities can promote a healthier and more sustainable living environment for its residents.",strategy,strategy
550,How long would it take for ecosystems to recover from acid deposition if necessary reductions are made?,"It would take decades for ecosystems to recover, particularly in areas where base cations have been leached out.",analysis,strategy
553,What interventions are being considered to offset the negative effects on the poor?,"Land banking and other interventions are being considered, but further evidence is needed on their effectiveness.",strategy,analysis
561,What are some significant contributions made by Latin American scholars in the understanding of accessibility and its benefits?,"Latin American scholars have made significant contributions to the understanding of accessibility, its benefits, and the implications it has for transport modelling. Some examples of these contributions include the works of Jara-Diaz, Martinez, and outUAR & Williamson.",analysis,analysis
579,Why is maintaining a strong regulatory posture challenging in the transport domain?,"Maintaining a strong regulatory posture is challenging in the transport domain because state power in this area is weak in many places, particularly in North American cities where private cars dominate and the state has little involvement in determining how mobility should be distributed.",ethics_and_regulation,ethics_and_regulation
580,How has the emphasis on reducing road traffic changed in many countries?,"Many countries are now shifting their focus from building infrastructure to accommodate the growth of road traffic to actively trying to reduce road traffic. This change in policy marks a significant shift, as it is the first time in many countries that traffic reduction is being prioritized over infrastructure development.",analysis,strategy
587,What measures have been taken to discourage and reduce car use in Thessaloniki?,"Measures directly aiming to discourage and reduce car use, such as removal of street parking, car-free zones, congestion charges, and multi-modal street design, are almost non-existent in Thessaloniki.",ethics_and_regulation,strategy
600,What variables are included in Model 3 of the analysis?,"Model 3 includes variables such as transport mode, travel attitudes, built environment, personal characteristics, and other factors like travel time, distance to city centre, neighbourhood density, age, gender, education level, household composition, income, disability, and overall health.",analysis,analysis
611,What are some multidimensional indicators used to determine the well-performing of cities?,"Multidimensional indicators, involving the economic, social, and environmental dimensions, are used to determine the well-performing of cities. These indicators are also nested with stakeholders' objectives.",taxonomy,analysis
612,Why have national governments been hesitant to establish a surveillance-based national charging system?,"National governments have been hesitant due to concerns over privacy, competence, and political risks.",ethics_and_regulation,ethics_and_regulation
621,Are the differences in potential exposure representative of a specific population group?,"No, the differences in potential exposure are illustrative for virtual individuals but not representative for any specific population group.",analysis,analysis
626,Is there a removal of freight transport generators due to the revitalization or revival of the city?,"No, there is no removal of freight transport generators due to the revitalization or revival of the city.",strategy,analysis
631,How does O3 contribute to air pollution during photochemical air pollution episodes?,O3 can mix down to ground level and contribute to regionally poor air quality during photochemical air pollution episodes.,science_and_tech,analysis
634,Why is it difficult to find observational evidence of aircraft emissions near the tropopause?,"Observational evidence of aircraft emissions near the tropopause is difficult to find because the variability of Ozone (O3) is high in that area, and the expected increase in Nitric Oxide (NO2) due to aircraft emissions is much smaller than the observed variability.",science_and_tech,analysis
642,What are some key challenges in sustainable transportation planning?,One key challenge is the need to reduce greenhouse gas emissions and other pollutants associated with transportation. Another challenge is making transportation networks robust and responsive to the effects of climate change.,strategy,strategy
646,What is one of the key issues in Latin America regarding transport and equity?,One of the key issues in Latin America regarding transport and equity is the significant gap in accessibility that different socioeconomic groups have to daily activities.,strategy,analysis
651,What was the criteria for selecting respondents for the Q analysis?,Only respondents who 'totally agreed' with the suggested vision of sustainable urban mobility were selected for the Q analysis.,science_and_tech,strategy
659,How many indicators require special permission for data collection?,"Out of 80 indicators, 49 require special permission for data collection, according to the corresponding data source.",science_and_tech,ethics_and_regulation
669,How have past technological innovations in car-based mobility addressed negative externalities?,"Past technological innovations in car-based mobility have not successfully addressed the negative externalities of the automobility era. Despite several decades of effort, none of these innovations have resulted in a positive outcome in terms of reducing waste, pollution, and environmental degradation.",science_and_tech,science_and_tech
673,"Which type of vehicles produce more CO2 emissions, petrol cars or diesel engines?","Petrol cars produce more CO2 emissions than diesel engines, even with a catalytic converter.",science_and_tech,science_and_tech
683,What is the importance of preparing local governments for energy and climate uncertainty?,"Preparing local governments for energy and climate uncertainty is important because it allows them to develop strategies and policies to mitigate the potential impacts of these uncertainties. This can include implementing renewable energy sources, creating resilient infrastructure, and promoting sustainable practices within the community.",ethics_and_regulation,strategy
685,"What is process evaluation, and what does it consider in the context of transportation planning?","Process evaluation in transportation planning considers how inclusive problem identification, plan preparation, and project implementation are, as well as issues such as information, communication, and public participation.",strategy,strategy
689,How can public debate contribute to the adoption of future mobility solutions?,"Public debate can bring future mobility solutions closer to the wider population by creating awareness, addressing concerns, and encouraging participation in decision-making processes.",strategy,strategy
691,How does improving public transport options benefit non-drivers?,"Public transport development increases mobility and accessibility options for non-drivers, who are often physically, economically, and socially disadvantaged compared to drivers. This helps promote equity and provides them with better opportunities for work and other activities.",analysis,strategy
698,How was qualitative data collected for the analysis?,"Qualitative data for the analysis was collected through a questionnaire survey, where 126 respondents provided open-ended answers, and personal qualitative interviews were conducted with 14 residents.",science_and_tech,analysis
702,How does Rauschmayer et al. suggest that an absence of clear normative goals for governing sustainability transitions can impact the outcomes of these transitions?,"Rauschmayer et al. suggest that without clear normative goals, transitions towards sustainability may falter or fail to deliver the promised environmental improvements and innovations.",analysis,analysis
704,How can real-time environmental sensors benefit the residents of a sensing city?,"Real-time environmental sensors can benefit residents by providing accurate and up-to-date information on air quality, allowing them to make informed decisions about their health and well-being.",science_and_tech,science_and_tech
711,How can regulation of the environmental effects of urban traffic improve the energy efficiency of urban transport systems?,"Regulation of the environmental effects of urban traffic can improve the energy efficiency of urban transport systems by enforcing measures that reduce pollutant emissions from vehicles, such as implementing stricter emission standards, promoting the use of cleaner fuels, and encouraging the adoption of electric vehicles. These regulations can help reduce air pollution and improve air quality in cities.",ethics_and_regulation,ethics_and_regulation
723,How can road pricing contribute to improving public transportation?,"Road pricing can provide revenue that can be used to improve and expand public transportation systems. This can lead to a more efficient, safe, and reliable public transportation system, making it a more attractive option for commuters.",strategy,strategy
735,"What are the environmental, social, and economic impacts of scenario S3?","Scenario S3 has less negative environmental, social, and economic impacts compared to other scenarios.",analysis,analysis
748,How can smart cities be categorized according to different perspectives?,Smart cities can be categorized according to different perspectives such as top-down vs. bottom-up initiatives and supply vs. demand-driven approaches.,taxonomy,strategy
756,What is the concept of smart mobility according to Zaniest and Pierced (2018)?,Smart mobility is a concept that aims to achieve sustainable development through the optimization of transport services.,science_and_tech,taxonomy
757,How is smart mobility conceptualized?,"Smart mobility is conceptualized as connectivity in centres and cities, as well as being accessible, effective, attractive, and sustainable.",taxonomy,strategy
762,How does smart ticketing benefit the public transportation sector?,Smart ticketing reduces the operational cost and makes it easy for passengers to use public transport.,strategy,strategy
768,What are the challenges associated with the positive effects of digitization in territories?,"Social diversity is a new important challenge brought about by digitization in territories. Despite the emphasis on integrated transport systems, there are still disparities in the actual degree of integration in different territories, leading to poor access to services and transportation for many people.",analysis,analysis
779,What are the challenges in data quality and availability for sustainable transportation indicators?,"Some challenges include the lack of consistent and reliable data sources, limited resources for data collection and analysis, and the need to develop indicators that are relevant and meaningful for different contexts and communities.",analysis,analysis
781,What are some common goals included in sustainable urban transport plans?,"Some common goals included in sustainable urban transport plans are increasing the efficiency of passenger and freight transport, improving safety, increasing active and ecological mobility, and reducing environmental pollution.",taxonomy,strategy
831,Where can one find statistics on road accident fatalities in Europe?,Statistics on road accident fatalities in Europe can be found on the Eurostat website.,science_and_tech,science_and_tech
840,What are some successful examples of mobility pricing?,"Successful examples of mobility pricing can be seen in cities like Stockholm, Milan, London, New York City, and Singapore, where such measures have been implemented and proven effective.",strategy,strategy
844,"What does sustainability or ""sustainable development"" mean according to the Brundtland report?","Sustainability or sustainable development means that any unit should be able to exist without depleting the resources required by future units to exist. Units should be economically sustainable, have minimum environmental impact, and be socially just.",strategy,taxonomy
845,What were the main differences between sustainable and smart city indicators in terms of focus?,"Sustainable city indicators primarily focused on environmental sustainability, while smart city indicators focused more on social and economic aspects, lacking environmental indicators.",analysis,analysis
871,What are the additional constraints in the rich VRP that are related to managing multiple attributes?,"The additional constraints in the rich VRP are related to managing multiple attributes, such as the balance between sustainability dimensions and the use of new technology.",analysis,strategy
872,How does the adoption of LPG taxi and CNG bus in Scenario 2 affect GHG emissions?,"The adoption of LPG taxi and CNG bus in Scenario 2 has an environmental advantage with much lower GHG emissions. However, the efficiency of this depends on the percent of operating LPG taxi and CNG bus in reality. The reduction in transport GHG emissions in Scenario 2 may be more significant than in Scenario 1.",analysis,analysis
896,How did the automobility transition change everyday activities?,The automobility transition altered established ways of conducting everyday activities and changed the kinds of activities people undertook.,strategy,analysis
911,"What is the publication date of the book ""Energy Efficiency - The Innovative Ways for Smart Energy, the Future Towards Modern Utilities""?","The book ""Energy Efficiency - The Innovative Ways for Smart Energy, the Future Towards Modern Utilities"" was published in 2012.",science_and_tech,science_and_tech
924,What were the results of Modellings cable ways in terms of accessibility and urban regeneration?,The cable ways in MedellÃ­n provided accessibility gains and fostered wider urban regeneration.,analysis,analysis
925,What determines the capacity of an urban street?,The capacity of an urban street is determined by its signalized intersections.,analysis,science_and_tech
927,"What is the CAR International model, and what factors do it take into account when calculating roadside pollutant concentrations?",The CAR International model is an empirical model that considers two-dimensional building shape factors when calculating annual average roadside pollutant concentrations.,science_and_tech,science_and_tech
931,What are the challenges associated with the transition to an urban population?,"The challenges associated with the transition to an urban population include the planning, development, and operation of cities.",strategy,analysis
934,What are the challenges of transitioning to a more sustainable transportation system in car-centric cities?,The challenges of transitioning to a more sustainable transportation system in car-centric cities include avoiding creating new injustices and gaining political acceptance.,strategy,ethics_and_regulation
940,What combination of measures resulted in the highest reduction in carbon emissions?,"The combination of public transport management and switching to natural gas fuel resulted in the highest reduction in carbon emissions, at 40.28%.",analysis,analysis
943,What factors contributed to the compact and mixed-use pattern in both cities?,"The compact and mixed-use pattern in both cities was formed due to the dominant system of development within the cohesive parts, with intensive building regulations per plot and provision of shops on the ground floors. Additionally, the street layout plan either had no special land use regulations in the older parts or, in the newer ones, based on land use regulations that favour mixed uses.",analysis,analysis
944,How does the compact zone scenario affect the modal split?,"The compact zone scenario increases the modal split for public transport to 9.23%, decreases motorcycles to 60.3%, decreases cars to 25.39%, and increases bicycles to 5.09%.",analysis,analysis
945,How does the compact zone strategy propose to manage the balance between employment and residential density?,"The compact zone strategy proposes extensive development of residences, shopping facilities, and educational centres in the western part of the city. This would increase the number of workers living in this area and promote intra-zonal commuting movements.",strategy,strategy
951,"How is the concept of ""Smart City"" proposed as a solution to sustainable urban management?","The concept of ""Smart City"" is proposed as a solution to sustainable urban management, as it aims to address the challenges of increasing urban populations and promote efficient and sustainable use of resources through the integration of technology and data-driven solutions.",strategy,strategy
956,How does the concept of a smart city contribute to the achievement of sustainability goals?,"The concept of a smart city drives the government, society, transport, and economic system towards a balance between sustainability dimensions. By incorporating new technologies, smart cities strive to make cities better places and integrate sustainability goals in a progressive and genuine manner.",strategy,strategy
959,"What is the concept of the ""smart city"" and how does it align with the United Nations 2030 Agenda?","The concept of the ""smart city"" aims to create cities that are sustainable, inclusive, and offer a high quality of life for its citizens. It aligns with the United Nations 2030 Agenda, specifically Sustainable Development Goal (SDG) 11, which focuses on making cities and human settlements inclusive, safe, resilient, and sustainable.",strategy,strategy
966,How has the construction of bridges and highways in Istanbul affected land-use patterns?,The construction of bridges and highways in Istanbul has changed the land-use patterns by causing residential and business areas to move towards the northern part of the city.,analysis,analysis
970,Why is the control of shipping emissions not included in the UN ECE protocols?,The control of shipping emissions lies outside the remit of the UN ECE protocols under the Convention on Long-range Transboundary Air Pollution. Shipping remains a significant contributor to acid deposition.,ethics_and_regulation,ethics_and_regulation
971,What are the priorities of the conventional approach to transport planning?,The conventional approach prioritizes the encouragement of the use of private vehicles and the construction of additional road infrastructure.,science_and_tech,strategy
973,What is the purpose of the COVERT model mentioned in paragraph 46?,The COVERT model is a European road transport emission inventory model used to estimate and analyse the emissions generated by vehicles on the road.,science_and_tech,analysis
990,What is the current mode choice for residents of Surabaya?,"The current mode choice for residents of Surabaya is primarily private car (30%), motorcycle (62%), and other vehicle types (8%, mostly minibuses).",science_and_tech,science_and_tech
992,What is the current transport planning approach in Istanbul?,"The current transport planning approach in Istanbul is called the ""predict-and-provide"" approach, which focuses on building more roads and infrastructure in response to growing traffic, rather than integrating sustainable transport policies.",science_and_tech,strategy
999,Does BRT serve the lowest-income users well?,"The data suggests that BRT does not serve the lowest-income users particularly well, as medium-income people tend to be overrepresented on BRT systems compared to citywide distributions.",analysis,analysis
1030,How much CO2-eq emissions are produced by the entire local fleet of buses in a year?,The entire local fleet of buses is responsible for 113.22 kt CO2-eq?year-1.,science_and_tech,science_and_tech
1049,What is the expected outcome of implementing the compact zone strategy?,The expectation is to reduce travel length and the number of trips to the city centre from the western part of the city. This will minimize the effect of urban sprawl and encourage improved accessibilities for residences in this area.,strategy,strategy
1054,What factors are considered when assessing the transport performance and emission loads in different cases?,The factors considered include the performance of the different transport patterns and the associated emission loads.,analysis,analysis
1058,What are the factors that affect the damage costs of transport emissions?,The factors that affect the damage costs of transport emissions include fuel type and location.,analysis,science_and_tech
1060,How can the findings from the comparison be used in policy interventions?,The findings can be used to assess the boundaries for Air Quality Management Areas (Aquas) and Low Emission Zones (Less) by taking into account workday population density.,strategy,analysis
1062,"What is the first example of ""techno-centric smart mobility"" practices in Belgium?",The first example is the ITC traffic controller of Antwerp. This project involves replacing the current systems that have been coordinating the signalling and automatic braking of Antwerp's pre-metro network for 35 years.,science_and_tech,strategy
1063,What functions and values can't the first model measure?,"The first model is not capable of measuring the fuel consumption according to acceleration and the speed from initial until the final point of each route, as well as the changes in kinetic energy per travelled kilometre during acceleration and deceleration moments.",science_and_tech,science_and_tech
1068,What is the focus of sustainable transport planning approach?,"The focus of sustainable transport planning approach is to promote alternative means of transport, such as public transport, walking, and cycling, as well as to improve infrastructure for these modes.",strategy,strategy
1070,"What is the focus of the book ""Para transit in African Cities: Operations, Regulation and Reform""?","The focus of the book is on para transit in sub-Saharan African cities, including its operations, regulation, and reform.",ethics_and_regulation,strategy
1073,What is the focus of the publication?,The focus of the publication is to provide a global review of energy trends and projections.,analysis,analysis
1080,What were the four phases of the literature collection process?,"The four phases of the literature collection process were comprehensive literature gathering, application of general keywords, incorporation of literature from renowned institutions, and narrowing down the relevant literature.",strategy,strategy
1086,Where can the Global Energy Review report be accessed?,The Global Energy Review report can be accessed on the website of the International Energy Agency (IEA).,science_and_tech,science_and_tech
1090,What are the goals of sustainable mobility?,"The goals of sustainable mobility are to improve accessibility while reducing environmental and social impacts, managing traffic congestion, promoting modal shift, reducing trip lengths, and increasing efficiency in the transport system.",analysis,strategy
